id	phrase	reviewIds	examples sentence fragments
29	great shirt	153,22,141,190,390,27	great shirt but no need,this is a great shirt at a great,great shirt thank you,great shirt for a sweet,great shirt for work i,it 's a great shirt not too thin
30	thin	298,139,200,479,85,470	material is kind of thin wear a black,product it 's pretty thin and i still,it cheaply made super thin fabric feels like,and fit this is thin which is perfect,these are very thin and see through,and the shirt is thin and flowy perfect
31	see through	85,480,468,473,463,431	are very thin and see through i bought this,pink it is totally see through it is great,so tight it was see through i decided to,well but a little see through when worn as,is that its pretty see through but the loose,basically see through so i ca
32	happy	419,179,156,74,71,139	i am happy with the cleavage,and i 'm so happy with the purchase,you will not be happy with this product,made to last im happy with it and,alike i am so happy i found them,i 'm so happy with this product
33	very nice	123,52,29,124,197,212,238,46	very nice tank top very,color wild geranium is very nice,very nice shirt that washes,very nice pink color really,shirt  is a very nice shirt but make,36 dd but a very nice shirt,very nice love it,in fabric and cut very nice feminine
34	cheap	164,223,267,470,404	this shirt it was cheap and the red,material was flimsy and cheap looking,made out of flimsy cheap material fyi seller,think it looks too cheap for that still,you 're wearing a cheap child 's halloween
35	not	116,389,73,484,499	this camisole does not appear to be,big and i have not been able to,poor quality it did not have the tucked,ugly scrubs top not a fashion top,this is not a plus size
36	wonderful	168,102,338,449,130,95	this top is wonderful to wear you,these are wonderful shirts easy to,heat the color is wonderful and as pictured,tank and it looked wonderful it fits a,of this cami is wonderful especially for the,the tank itself is wonderful
37	small	32,153,32,225,32	me i ordered a small and i 'm,roomy just a bit small thru the bust,sleeve is kind of small when the button,nice shirt runs small,'re a medium a small would probably fit
38	fit as expected	194,214,423,167,346,229,411	it fit as expected it was delivered,sizes and these shirts fit as expected,fit as expected and is a,both pretty cool and fit as expected,exactly on time and fit as expected i love to,as described fit as expected,easy to wash and dry fit as expected
39	well	271,202,290,338,424	washed and dried very well hung it on,the top fit my well with the exception,is great fits really well and very soft,layering it works very well i love this,read it fits me well though i am
40	shirt	310,466,268,192,113	a really great basic shirt for summer i,i love this shirt especially in red,on the town the shirt is long enough,not only washed the shirt and it shrank,the material but the shirt is cute
41	great quality	36,79,331,303,49	great quality i completely satisfied,great quality,great quality for price,great quality was what i,great quality nice fit
42	comfort	383,130,336,274,427	fit fabric quality and comfort of the product,a size larger for comfort they are thin,i really like the comfort and coolness of,if your looking for comfort this is the,fantastic fit comfort and perfect
43	sizing	204,86,373,394	cute shirt but the sizing is so far,was disappointed with the sizing,i found the sizing to be way,is n't just mis sizing this is flat
44	good quality	292,485,10,275,60,393,213	comfy it is a good quality product,good quality shirt perfect for,tight armholes it was good quality i will say,products are of very good quality i have purchased,good quality well made,fast shipping good quality and will work,good quality great fitting
45	wrinkle free	234,101,153,102	because they truly are wrinkle free this particular blouse,shirts they really are wrinkle free i already have,nice material and stays wrinkle free all day i,because it is so wrinkle free
46	good	189,473,284,189,487	good i found it,to wear in public good apparel for yoga,run small quality is good however,i found it very good in quality thanks,good for summer
47	wear	466,409,222,14	you ca n't really wear it with certain,good length i would wear it everyday i,4 are perfect can wear it all seasons,liked the color i wear it a lot
48	too big	292,67,54,270	i bought this too big but it is,it is a bit too big for me i,but this was simply too big even the sleeves,plus it was way too big and looked horrible
49	too short	267,95,50,201	by threads sleeves way too short for adult size,an inch or two too short for me to,bust and this was too short for me quality,but the necklace was too short on one side
50	fits nicely	314,159,216,27,100	a size down it fits nicely and is quality,this fits nicely no need for,of a salmon color fits nicely a little roomy,not too heavy it fits nicely and it looks,fits nicely soft material
51	price	397,23,421,130	stretchy i think the price is a little,of the fabric the price and the colors,only negative is the price but to add,wonderful especially for the price they run small
52	looks great	195,112,500,414,106,262,349	the shirt looks great,'s very comfortable and looks great on,lightweight comfortable and looks great husband loves the,smooth everything out it looks great and feels great,looks great fits great,has great stretch and looks great,fits and looks great
53	little smaller	65,363,447	these shirt types a little smaller they are really,was a little smaller than i thought,plus and runs a little smaller it 's not
54	cut	51,23,222	large size it is cut almost too small,small fits perfectly the cut is loose but,i like the cut of the shirt
55	perfect fit	376,315,162,341	it it 's a perfect fit,beautiful color and a perfect fit thank you,perfect fit it was scratchy,the top is a perfect fit love it
56	lovely	373,94,171,129	the color however was lovely i have ordered,and it 's still lovely,this is a lovely blouse with nice,fits as expected lovely shirt
57	cool	384,462,409	smooth comfortable and yes cool tank i will,because they are so cool and lightweight the,oh and it is cool too
58	runs small	82,241,445	very very tight definitely runs small,nice design but runs small,i know there stuff runs small on me so
59	again	59,27,126	buying from this company again,i 'd buy it again,order clothing from amazon again the sellers do
60	thick	256,392,345	so scratchy and almost thick expected a light,the fabric is thick and it is,comfy material and are thick they are not
61	feels great	17,456,414	feels great i will buy,favorite fits great and feels great,it looks great and feels great fits true to
62	well made	398,39,425,60	estimated date items are well made though priced a,too large it 's well made seems to have,but it is a well made shirt,good quality well made
63	comfortably	25,357,476	this shirt it fits comfortably and its sexy,and that size fits comfortably i purchased a,sufficiently loose to exercise comfortably in it
64	style	44,37,180	like there fit and style and the price,but the colors and style of the shirt,love the style however the fabric
65	wrinkled	366,56,45	bra and not just wrinkled up,and it was quite wrinkled and hard to,to dry it still wrinkled as though i
66	product	383,353,492	and comfort of the product,the product is beautiful and,is excellent and the product is very beautiful
67	fits perfectly	23,437,221,380	size 6 the small fits perfectly the cut is,this shirt fits perfectly i got the,dryer drama love it fits perfectly thank you for,fits perfectly and thicker than
68	snug	97,75,124,79	all and is not snug or long as,its snug but i am,perfect the medium is snug i would go,very snug
69	to small	497,394,166	blouse but it was to small for me so,wear and it was to small i gave this,when washed it was to small
70	liked	32,209,14	i probably would have liked the shirt if,very beautiful shirt i liked the necklace that,did fit and i liked the color i
71	loved	298,25,163	a different pattern and loved it fair warning,i absolutely loved this shirt it,week and co workers loved the color and
72	fits great	237,179,108,236,106,144,417,456	3 4 sleeve sweater fits great 60 40 cotton,up there not sure fits great on me tho,great quality shirt that fits great it 's nice,very nice top fits great and very soft,looks great fits great,looks and fits great,love it fits great does the job,this is my favorite fits great and feels great
73	hot	160,83,188	and not itchy or hot not for me,very snug and exceptionally hot too,this is a very hot leotard though it
74	fit perfectly	161,160,87,301	super satisfied the blouse fit perfectly and i love,with this shirt it fit perfectly and it 's,cup is 29e this fit perfectly > slim tight,bit large and thus fit perfectly
75	little large	285,322,112	pleased it was a little large of course i,a little large but can wear,though it is a little large it 's very
76	pleased	285,461,356	now while i was pleased it was a,before and was very pleased i bought the,fits well i 'm pleased
77	great fit	64,438,199,372	beautiful shirts great fit and my daughter,on it 's a great fit & nice material,comfortable and great fit with a standard,great fit love the shirts
78	really cute	447,364	it 's really cute but i forgot,huge still it 's really cute and will still
79	fits as expected	317,185,129	nice top that fits as expected it washed up,that its fine and fits as expected small is a,fits as expected lovely shirt
80	run large	291,323	size they seem to run large i sent the,tank tops but they run large i usually wear
81	dry cleaned	89,18	it has to be dry cleaned this is one,it has to be dry cleaned this is one
82	love the quality	441,161	love the quality but this fits,fit perfectly and i love the quality
83	hesitant	316,14	i was a little hesitant but it looked,i was hesitant on buying any
84	has	18,122	i 'd known it has to be dry,color is pretty and has n't faded even
85	washes	29,254	very nice shirt that washes up nice i,like that its long washes up nicely the
86	too tight	10,403	the arms would be too tight,your company that was too tight claiming to be
87	nice quality	260,157	nice quality cotton shrank when,nice quality as i would
88	beautiful color	235,315	the shirt is a beautiful color and fits just,such a beautiful color and a perfect
89	awesome	307,221	this shirt is awesome so comfy,awesome shirt i bought
90	long enough	264,268	shirts because they are long enough to make me,town the shirt is long enough to cover what
91	does n't wrinkle	221,237,243	another color too it does n't wrinkle up at all,a good weight and does n't wrinkle orvis quality at
92	very disappointing	355,204,454	oddly constructed and so very disappointing on  i,sizes smaller than normal very disappointing,right top strap ripped very disappointing
93	adjustable straps	125,7	a shelf bra and adjustable straps it had neither,smoothing i love the adjustable straps i am probably
94	short	145,313	and the sizing is short,material and they are short but good enough
95	fit very well	201,334	problems with it it fit very well however the main,the shirts i purchased fit very well the material is
96	necklace	209,201	shirt i liked the necklace that was included,to it but the necklace was too short
97	looked great	454,283,351	shirt out and it looked great the problem came,easy to clean & looked great,fit great looked great
98	gorgeous	256,433,434	the bib section is gorgeous but definitely seems,gorgeous please bring this,gorgeous excellent quality
99	satisfied	36,275	great quality i completely satisfied,and have been very satisfied with them
100	really small	115,12	great but sizes are really small,really small so had to
101	nice fabric	279,171,66	very nice big shirt nice fabric & fit i,a lovely blouse with nice fabric i wore it,very comfortable nice fabric will reorder
102	stretched	399,114	it as if it stretched and the thread,because all mine are stretched out overall a
103	nice shirt	322,228	large but can wear nice shirt,nice shirt can wear to
104	fits snug	414,451	120 125 and this fits snug but that the,fits snug but complements my
