31	very good	281,480,119,274,274	capture quality is also very good very good lens,though this is a very good point and shoot,a very good camera,this is a very good sony dsc tx,camera can take a very good picture and shooting
32	happy	481,222,489,214,208	fb overall i 'm happy with this camera,broke and he 's happy not to have,i am happy with it,am so so so happy to have found,pictures i 'm a happy camper
33	no complaints	446,131,254,365,170	is easy to use no complaints so far,i have no complaints,all the time and no complaints got my first,us and i have no complaints at all the,fantastic little camera absolutely no complaints
34	great product	77,284,239,397,379	it is a great product and very good,uses it a lot great product,great product the panorama photos,great product fast delivery,great product and better service
35	works well	233,377,337,437,481	no visible damages and works well,for this camera it works well,came very quickly and works well however i had,accurate about condition camera works well,it works well i can upload
36	fantastic	213,290,233,111,171	new cameras by canon fantastic,the 3d views are fantastic,the camera was fantastic for a beginner,camera the pictures are fantastic we owned another,a fantastic reasonably priced all around digital
37	nice pictures	143,29,228,478	takes nice pictures lens is pretty,optical zoom small but nice pictures,the price i get nice pictures,to use and takes nice pictures the brown color
38	problem	99,185,447,27	light is still a problem with a camera,if you have a problem see if you,sports mode the same problem occurred if the,canon had problem with this s1
39	quit working	408,313,229,313	last trip it just quit working after a day,july 2014 they both quit working they would not,years but then something quit working and i ca,crappy item if they quit working for no apparent
40	highly recommend	460,149,113,141,211	a reasonable price i highly recommend this camera for,great pictures i would highly recommend,usage to date i highly recommend this particular camera,worth the money i highly recommend it,make videos for youtube high definition highly recommend
41	decent	50,58,58,289	takes very decent pictures for daylight,otherwise it 's a decent point and shoot,its 3x zoom is decent enough for product,that it is a decent replacement in the
42	returned	499,343,471,498	camera was defective and had to be returned,button has issue - i returned this product,wasn't what i was looking for - i returned this,camera was defective and had to be returned
43	better	253,253,38,339	ended up getting a better camera,i bought is even better so i 'll,in great shape even better than expected great,and rugged looks much better than other waterproof
44	does	144,357,461,176	doesn't have as good a zoom and doesn't have the different scene choices,doesn't take shots immediately but waits a second,doesn't seem to have a very good lens,does exactly the job its supposed to do
45	very disappointed	57,10,206,175	very disappointed the camera was,it does work overall very disappointed i could n't,i am very disappointed with this camera,it was not functional very disappointed
46	money	2,423,6,141,369	slide show for the money you ca n't,not worth the money,do n't wast your money on this piece,is well worth the money i highly recommend,good camera for the money
47	leaked	174,368,94	the warranty expired it leaked and broke,leaked the first time,leaked from nearly day
48	new	107,83,46	we could get one new,new in the box,it is just like new
49	lasted	260,135,2	order the battery always lasted me all day,lasted about two months,me how long they lasted the only trouble
50	still works great	252,73,196	harsh conditions and it still works great an was one,in used condition this still works great it 's a,ago but everything else still works great i have kids
51	complaint	289,266,121	each picture my biggest complaint is the rotating,at retail my only complaint is that the,n't have a single complaint about it the
52	looks new	371,384,123	machine looks new but this camera,was used but it looks new could n't find,in original packaging and looks new did get one
53	photos	239,428,220	great product the panorama photos are awesome,and just love the photos i would definitely,lost all the water photos that i thought
54	great photos	152,454,415	get another it takes great photos and videos is,very good camera take great photos,well and took some great photos
55	nice little camera	98,264,410	nice little camera i bought it,inexpensive practical and a nice little camera to have,a nice little camera to have in
56	easier	308,413,412	a smart phone is easier and cheaper,makes focusing so much easier,will make your life easier when filming
57	cheap	412,175,284,140	your looking for something cheap buy it if,promised this was not cheap and did not,this because it was cheap and my young,i found it ugly and cheap
58	expensive	241,147,130	does everything an expensive camera does,great but it is expensive and hard to,in stores and more expensive too hint hint
